sample,batch,animal,tissue,treatment,day
D300530,S3B009,G000,Digesta,TG0,NA
D300531,S3B009,G000,Digesta,TG0,NA
D300529,S3B009,G085,Digesta,TG1,35
D300480,S3B009,G086,Digesta,TG1,35
D300517,S3B009,G087,Digesta,TG1,35
D300428,S3B009,G088,Digesta,TG1,35
D300509,S3B009,G089,Digesta,TG1,35
D300516,S3B009,G090,Digesta,TG1,28
D300510,S3B009,G091,Digesta,TG1,28
D300483,S3B009,G092,Digesta,TG1,28
D300466,S3B009,G093,Digesta,TG1,28
D300421,S3B009,G094,Digesta,TG1,28
D300454,S3B009,G095,Digesta,TG1,21
D300525,S3B009,G096,Digesta,TG1,21
D300468,S3B009,G097,Digesta,TG1,21
D300451,S3B009,G098,Digesta,TG1,21
D300498,S3B009,G099,Digesta,TG1,21
D300476,S3B009,G101,Digesta,TG1,14
D300487,S3B009,G103,Digesta,TG1,14
D300459,S3B009,G104,Digesta,TG1,14
D300420,S3B009,G105,Digesta,TG1,7
D300430,S3B009,G106,Digesta,TG1,7
D300462,S3B009,G107,Digesta,TG1,7
D300512,S3B009,G059,Digesta,TG2,35
D300484,S3B009,G060,Digesta,TG2,35
D300495,S3B009,G061,Digesta,TG2,35
D300478,S3B009,G062,Digesta,TG2,35
D300458,S3B009,G063,Digesta,TG2,35
D300427,S3B009,G064,Digesta,TG2,28
D300490,S3B009,G065,Digesta,TG2,28
D300496,S3B009,G066,Digesta,TG2,28
D300467,S3B009,G067,Digesta,TG2,28
D300418,S3B009,G069,Digesta,TG2,28
D300519,S3B009,G070,Digesta,TG2,21
D300504,S3B009,G071,Digesta,TG2,21
D300527,S3B009,G072,Digesta,TG2,21
D300439,S3B009,G073,Digesta,TG2,21
D300475,S3B009,G074,Digesta,TG2,21
D300506,S3B009,G075,Digesta,TG2,14
D300473,S3B009,G076,Digesta,TG2,14
D300486,S3B009,G077,Digesta,TG2,14
D300528,S3B009,G079,Digesta,TG2,14
D300449,S3B009,G080,Digesta,TG2,7
D300492,S3B009,G081,Digesta,TG2,7
D300446,S3B009,G082,Digesta,TG2,7
D300419,S3B009,G084,Digesta,TG2,7
D300453,S3B009,G033,Digesta,TG3,35
D300465,S3B009,G035,Digesta,TG3,35
D300422,S3B009,G036,Digesta,TG3,35
D300437,S3B009,G037,Digesta,TG3,35
D300523,S3B009,G039,Digesta,TG3,35
D300426,S3B009,G040,Digesta,TG3,28
D300440,S3B009,G041,Digesta,TG3,28
D300485,S3B009,G042,Digesta,TG3,28
D300447,S3B009,G043,Digesta,TG3,28
D300461,S3B009,G044,Digesta,TG3,28
D300456,S3B009,G045,Digesta,TG3,21
D300425,S3B009,G046,Digesta,TG3,21
D300424,S3B009,G047,Digesta,TG3,21
D300450,S3B009,G048,Digesta,TG3,21
D300481,S3B009,G049,Digesta,TG3,21
D300494,S3B009,G050,Digesta,TG3,14
D300423,S3B009,G051,Digesta,TG3,14
D300441,S3B009,G052,Digesta,TG3,14
D300435,S3B009,G053,Digesta,TG3,14
D300457,S3B009,G054,Digesta,TG3,14
D300432,S3B009,G055,Digesta,TG3,7
D300444,S3B009,G056,Digesta,TG3,7
D300482,S3B009,G057,Digesta,TG3,7
D300501,S3B009,G058,Digesta,TG3,7
D300521,S3B009,G008,Digesta,TG4,35
D300514,S3B009,G009,Digesta,TG4,35
D300443,S3B009,G010,Digesta,TG4,35
D300526,S3B009,G011,Digesta,TG4,35
D300474,S3B009,G012,Digesta,TG4,35
D300511,S3B009,G013,Digesta,TG4,28
D300489,S3B009,G014,Digesta,TG4,28
D300491,S3B009,G016,Digesta,TG4,28
D300488,S3B009,G017,Digesta,TG4,28
D300508,S3B009,G018,Digesta,TG4,28
D300502,S3B009,G019,Digesta,TG4,21
D300438,S3B009,G020,Digesta,TG4,21
D300448,S3B009,G021,Digesta,TG4,21
D300518,S3B009,G023,Digesta,TG4,21
D300500,S3B009,G024,Digesta,TG4,21
D300522,S3B009,G026,Digesta,TG4,14
D300429,S3B009,G027,Digesta,TG4,14
D300472,S3B009,G028,Digesta,TG4,14
D300471,S3B009,G029,Digesta,TG4,14
D300431,S3B009,G030,Digesta,TG4,7
D300463,S3B009,G031,Digesta,TG4,7
D300452,S3B009,G032,Digesta,TG4,7
D300470,S3B009,G002,Digesta,TG5,14
D300477,S3B009,G003,Digesta,TG5,14
D300433,S3B009,G004,Digesta,TG5,14
D300479,S3B009,G005,Digesta,TG5,7
D300436,S3B009,G006,Digesta,TG5,14
D300445,S3B009,G007,Digesta,TG5,7
D300442,S3B009,G108,Digesta,TG5,14
D300507,S3B009,G110,Digesta,TG5,21
D300434,S3B009,G111,Digesta,TG5,21
D300460,S3B009,G112,Digesta,TG5,21
D300513,S3B009,G113,Digesta,TG5,21
D300455,S3B009,G114,Digesta,TG5,21
D300524,S3B009,G115,Digesta,TG5,28
D300469,S3B009,G116,Digesta,TG5,28
D300520,S3B009,G118,Digesta,TG5,28
D300505,S3B009,G119,Digesta,TG5,28
D300493,S3B009,G120,Digesta,TG5,28
D300499,S3B009,G121,Digesta,TG5,35
D300503,S3B009,G122,Digesta,TG5,35
D300464,S3B009,G123,Digesta,TG5,35
D300515,S3B009,G124,Digesta,TG5,35
D300497,S3B009,G125,Digesta,TG5,35
