sample	D300420	D300430	D300462	D300449	D300492	D300446	D300419	D300432	D300444	D300482	D300501	D300431	D300463	D300452	D300479	D300445
batch	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009	S3B009
animal	G105	G106	G107	G080	G081	G082	G084	G055	G056	G057	G058	G030	G031	G032	G005	G007
tissue	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta	Digesta
treatment	TG1	TG1	TG1	TG2	TG2	TG2	TG2	TG3	TG3	TG3	TG3	TG4	TG4	TG4	TG5	TG5
day	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
L-Tyrosine	1994692.43385917	1415201.54134181	1615632.21981295	647789.534250806	5420918.30688281	3399992.6266781	1096362.6924642	2330699.72867868	979775.984204332	979970.339661157	4331901.21643192	1070405.43006612	601438.732166651	471502.748025865	374898.276490196	672153.312981055
L-Phenylalanine	2050994.73216014	2673541.36237018	2356668.23183426	1338805.67283221	21447506.6376155	11510642.7539203	3482310.87767105	3153075.02253599	1977082.75428962	1975836.27677789	10365258.1538847	1647480.63786534	1862486.10297632	955339.135261436	480322.134387448	2686876.16699784
L-Tryptophan	1712794.66167003	1140742.64856998	1000530.39078409	169438.67518823	791227.789052669	898179.416243205	1014373.65057131	800717.607112177	730805.378467265	747443.240092878	1235323.32636588	732086.452498767	946341.778649654	731037.557535761	734133.770958564	836231.77662746
L-Aspartic Acid	854494.104335906	550323.55003456	930715.381407998	1570898.9504055	1210625.79383326	828336.525761822	1940835.6877928	608045.155994973	1039527.77545195	615821.399300956	661653.274827483	866244.710282364	734443.749272791	492425.259903157	454350.238889491	689361.409021353
L-Arginine	9259658.6926379	3743620.94418667	7317095.67420964	6658185.95089014	8034442.80758192	5680846.5793111	12667652.7005935	4654466.8294375	7104520.85099242	5751465.17405771	7611270.03106938	5969634.94017545	4670954.19309638	4785876.08104247	2876824.2145309	3625572.79881171
L-Leucine	4569468.1035871	6115498.23631068	5456786.32070131	1318931.93463213	4010831.2149036	2940200.11085543	7693548.02377495	2263778.88014758	4188289.33428697	4563840.4465718	3608224.7793229	2266268.96635112	2569711.24732522	1551616.12878331	1039652.03553243	3121844.99453284
L-Glutamic acid	4814153.4120212	3519736.9671134	4502333.88334472	9361106.90684798	4584577.11288046	4436363.93582744	11295279.1583617	2789070.11541309	4073604.57637088	3423360.53902367	2041074.61850158	2813389.16114762	2655434.23758149	2455868.69102626	3851971.7333446	3328180.11027879
L-Glutamine	1720820.35740402	3391913.35008854	2940182.36025341	3842208.77238422	2828547.51090107	1413488.08895877	11489500.2626384	2335004.23103788	2301847.09406418	2795464.13005243	3670542.01900543	2224671.58931255	4907294.05445122	3000452.17772532	535089.168006037	4052035.96170503
L-Histidine	1720011.84421104	1095285.53024539	1153160.71332077	10672120.9794519	1390187.96673524	672159.00908077	1810763.67125376	704159.710608518	1515340.65951002	775593.277699405	1372458.09680811	759793.847812488	1092978.36770028	860444.959111426	630815.78129374	1262135.05750073
L-Lysine	10120788.2242458	4937873.65126224	6302194.07567438	2520643.0159973	7729221.01205863	9474281.08431201	8679990.64579695	9695876.35889289	10165768.3517016	8678762.07942153	11047335.892471	11376053.9497055	6815216.32156269	7033395.64092404	8810684.04629258	6604626.35944467
L-Methionine	393533.328045176	445691.453798681	502232.698838052	77028.9600302007	413245.797275298	342704.590049878	822141.963801651	565765.530346351	690859.517435481	576311.020065491	564332.462851316	161097.584515729	289656.443631112	262443.284643278	172707.140740851	371094.905945182
L-Proline	55449064.2759294	43824164.7839122	73416065.8743232	6422410.72767067	19140539.4351893	14892315.5899709	12733222.8009697	14772594.1522931	19360819.3033217	22038464.2458989	14285254.2555988	16511455.1473719	22301685.723994	34379107.7953695	41342302.1796512	37007977.061619
L-Threonine	1045676.8857286	1168939.41390693	1347135.6058339	641073.386415994	879222.24153441	857313.341047439	3328690.80933187	986059.625618002	1077074.68380679	1355080.63602229	1395931.03705655	586347.48069909	1171925.505477	807365.540345886	722718.769082795	905242.471174124
Thiamine	250806.67546802	806185.892527081	1314499.48998977	1147837.91776568	911624.235482515	735940.213081197	2558111.32001954	885715.152827034	783712.072677079	1539648.52850671	1493021.98056378	704475.40236462	713251.31386297	437365.305516008	996705.196849242	2424759.56749733
Adenine	316995.745101639	414925.224575436	274027.469227779	3181672.35274306	368741.908064304	204318.748944749	2056875.60044646	634687.277356358	444230.379091642	483341.693679449	475723.464737906	332391.182203954	577711.30787195	823355.059564421	382810.859081755	238893.091245005
Guanosine	55958.0810703629	82569.5052094479	58280.0933429792	11603.6679464751	211199.770963612	105525.838171585	967714.588397126	51184.1733736829	117450.574464018	51641.507774056	140751.403203207	129476.273271268	166498.651990938	59848.0063731687	116434.494970427	100748.330767189
L-Valine	2348695.92665263	2920771.75821962	1401004.21430518	33257273.0452024	2062105.86978432	2758140.85568491	10722183.9301362	3091511.95347725	3550724.86579205	2489983.3451443	2046428.94336249	2110583.28445651	2780372.27416743	1721459.30554308	682533.647148833	2736470.87923108
L-Alanine	24402.560198264	51237.8610133105	41124.3151229036	0.0	32326.938383822	13233.0497352707	132896.479732957	13172.0218303597	20582.6459429074	27426.8062346842	29626.1415912402	18196.9691815351	33014.4028365609	8748.64339022802	10863.2304826625	38369.8929911203
L-Asparagine	5713.09443541349	12323.4044465505	10862.7889264844	73668.3254125363	57429.9848117086	14671.5709889098	121933.871269902	5028.90559763965	20080.9627740531	7716.6414186499	12634.5203968611	9066.72707451946	24799.3981715286	19845.0559380093	3990.32722454642	21818.2062456929
L-Isoleucine	1337172.14506899	3141086.27655717	1378368.73089363	207012.153068075	878483.851561018	869137.171130638	1954799.35666382	811978.147615953	1357139.44878131	1116254.50620431	922627.819456617	367241.443262067	911458.398493766	550869.280284541	572549.736642518	1351946.62439139
L-Serine	532081.33493777	1170196.87978596	930232.0140627	1174818.28528326	567339.330760814	191138.066663822	1274681.647413	88185.1060753372	293325.73221259	275467.718406074	266796.457311849	245467.260197022	448100.01630006	120833.614064839	70086.3021839945	605905.431341261
Lactic acid	1869943.65145942	6836228.61323557	2281389.56269005	4895349.78932401	11695614.9210734	914565.000241261	6066024.54442414	5648544.03761306	2261530.12767459	7595268.57807181	5487775.7911911	5099613.22768834	5189663.00556902	389927.792605707	190431.878972797	1401376.36271551
Sulfoacetic acid	1757385.43280267	1125110.81621545	1392750.13047423	135113.826804939	1416473.42829491	1736747.56232662	170896.733139457	1552201.75797718	1258210.97906715	1492323.05459657	1300065.90023765	1129830.98547795	1031925.07107443	891178.362073738	1477782.31219053	1043875.78332556
